timestamp,rpm,vel
2025-06-02 07:38:06,,
2025-06-02 07:38:06,,
2025-06-02 07:38:06,,
2025-06-02 07:38:06,,
2025-06-02 07:38:07,,
2025-06-02 07:38:07,,
2025-06-02 07:38:07,,
2025-06-02 07:38:07,,
2025-06-02 07:38:07,,
2025-06-02 07:38:07,,
2025-06-02 07:38:07,,
2025-06-02 07:38:07,,
2025-06-02 07:38:07,,
2025-06-02 07:38:08,,
2025-06-02 07:38:08,,
2025-06-02 07:38:08,,
2025-06-02 07:38:08,,
2025-06-02 07:38:08,,
2025-06-02 07:38:08,,
2025-06-02 07:38:08,858,108
2025-06-02 07:38:08,925,118
2025-06-02 07:38:08,797,86
2025-06-02 07:38:09,799,89
2025-06-02 07:38:09,771,23
2025-06-02 07:38:09,948,109
2025-06-02 07:38:09,906,73
2025-06-02 07:38:09,879,105
2025-06-02 07:38:09,910,9
2025-06-02 07:38:09,930,42
2025-06-02 07:38:09,879,91
2025-06-02 07:38:09,779,12
2025-06-02 07:38:10,820,114
2025-06-02 07:38:10,768,62
2025-06-02 07:38:10,928,57
2025-06-02 07:38:10,908,83
2025-06-02 07:38:10,902,116
2025-06-02 07:38:10,893,69
2025-06-02 07:38:10,874,109
2025-06-02 07:38:10,858,116
2025-06-02 07:38:10,812,14
2025-06-02 07:38:10,804,56
2025-06-02 07:38:11,838,43
2025-06-02 07:38:11,833,73
2025-06-02 07:38:11,778,40
2025-06-02 07:38:11,758,117
2025-06-02 07:38:11,817,25
2025-06-02 07:38:11,838,21
2025-06-02 07:38:11,950,65
2025-06-02 07:38:11,756,37
2025-06-02 07:38:11,836,36
2025-06-02 07:38:12,807,36
2025-06-02 07:38:12,838,119
2025-06-02 07:38:12,798,103
2025-06-02 07:38:12,793,39
2025-06-02 07:38:12,923,45
2025-06-02 07:38:12,781,108
2025-06-02 07:38:12,827,95
2025-06-02 07:38:12,847,52
2025-06-02 07:38:12,754,67
2025-06-02 07:38:13,866,39
2025-06-02 07:38:13,766,64
2025-06-02 07:38:13,869,40
2025-06-02 07:38:13,871,2
2025-06-02 07:38:13,766,97
2025-06-02 07:38:13,786,44
2025-06-02 07:38:13,945,59
2025-06-02 07:38:13,925,83
2025-06-02 07:38:13,814,5
2025-06-02 07:38:14,876,9
2025-06-02 07:38:14,760,63
2025-06-02 07:38:14,843,2
2025-06-02 07:38:14,761,113
2025-06-02 07:38:14,898,13
2025-06-02 07:38:14,865,75
2025-06-02 07:38:14,883,95
2025-06-02 07:38:14,794,74
2025-06-02 07:38:14,946,62
2025-06-02 07:38:15,874,5
