timestamp,nivel,mensaje,contexto
"2025-06-02 16:47:49","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:49","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:49","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:49","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:50","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:51","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:51","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:51","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:51","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:51","ADVERTENCIA","Sin datos de RPM","update_data"
"2025-06-02 16:47:51","ADVERTENCIA","Sin datos de velocidad","update_data"
"2025-06-02 16:47:51","ADVERTENCIA","Sin datos de RPM","update_data"
