timestamp,010C,010D,0105,0110,0111,012F,rpm,vel
2025-06-02 07:05:07,66,92,,,,,,
2025-06-02 07:05:07,22,66,,,,,,
2025-06-02 07:05:07,3,11,,,,,,
2025-06-02 07:05:07,3,47,,,,,,
2025-06-02 07:05:07,38,14,,,,,,
2025-06-02 07:05:07,29,56,,,,,,
2025-06-02 07:05:08,83,35,,,,,,
2025-06-02 07:05:08,52,94,,,,,,
2025-06-02 07:05:08,26,2,,,,,,
2025-06-02 07:05:08,31,88,,,,,,
2025-06-02 07:05:08,50,87,,,,,,
2025-06-02 07:05:08,6,15,,,,,,
2025-06-02 07:05:08,95,47,,,,,,
2025-06-02 07:05:08,29,29,,,,,,
2025-06-02 07:05:08,10,87,,,,,,
2025-06-02 07:05:09,10,14,,,,,,
2025-06-02 07:05:09,49,52,,,,,,
2025-06-02 07:05:09,27,54,,,,,,
2025-06-02 07:05:09,14,97,,,,,,
2025-06-02 07:05:09,98,54,,,,,,
2025-06-02 07:05:09,32,76,,,,,,
2025-06-02 07:05:09,46,22,,,,,,
2025-06-02 07:05:09,68,56,,,,,,
2025-06-02 07:05:09,16,75,,,,,,
2025-06-02 07:05:09,38,4,,,,,,
2025-06-02 07:05:10,11,35,,,,,,
2025-06-02 07:05:10,23,66,,,,,,
2025-06-02 07:05:10,89,72,,,,,,
2025-06-02 07:05:10,37,93,,,,,,
2025-06-02 07:05:10,36,50,,,,,,
2025-06-02 07:05:10,29,16,,,,,,
2025-06-02 07:05:10,38,45,,,,,,
2025-06-02 07:05:10,59,31,,,,,,
2025-06-02 07:05:10,36,9,,,,,,
2025-06-02 07:05:11,88,74,,,,,,
2025-06-02 07:05:11,0,82,,,,,,
2025-06-02 07:05:11,46,98,,,,,,
2025-06-02 07:05:11,65,43,,,,,,
2025-06-02 07:05:11,0,7,,,,,,
2025-06-02 07:05:11,97,18,,,,,,
2025-06-02 07:05:11,90,67,,,,,,
2025-06-02 07:05:11,70,7,,,,,,
2025-06-02 07:05:11,22,2,,,,,,
2025-06-02 07:05:12,34,80,,,,,,
2025-06-02 07:05:12,96,78,,,,,,
2025-06-02 07:05:12,32,4,,,,,,
2025-06-02 07:05:12,48,100,,,,,,
2025-06-02 07:05:12,12,71,,,,,,
2025-06-02 07:05:12,92,,,,,,869,100
2025-06-02 07:05:12,69,,,,,,813,105
2025-06-02 07:05:12,39,,,,,,779,94
2025-06-02 07:05:12,80,,,,,,893,17
2025-06-02 07:05:13,82,,,,,,820,66
2025-06-02 07:05:13,34,,,,,,861,113
2025-06-02 07:05:13,86,,,,,,833,40
2025-06-02 07:05:13,97,,,,,,863,103
2025-06-02 07:05:13,55,,,,,,907,114
2025-06-02 07:05:13,79,,,,,,811,15
2025-06-02 07:05:13,93,,,,,,793,105
2025-06-02 07:05:13,13,,,,,,754,4
2025-06-02 07:05:13,69,,,,,,879,20
2025-06-02 07:05:14,94,,,,,,896,4
2025-06-02 07:05:14,5,,,,,,814,18
2025-06-02 07:05:14,51,,,,,,893,115
2025-06-02 07:05:14,25,,,,,,919,29
2025-06-02 07:05:14,87,,,,,,911,1
2025-06-02 07:05:14,44,,,,,,866,62
2025-06-02 07:05:14,87,,,,,,765,16
2025-06-02 07:05:14,24,,,,,,929,80
2025-06-02 07:05:14,14,,,,,,826,8
2025-06-02 07:05:15,51,,,,,,921,55
2025-06-02 07:05:15,6,,,,,,900,74
2025-06-02 07:05:15,64,,,,,,851,73
2025-06-02 07:05:15,73,,,,,,860,9
2025-06-02 07:05:15,16,,,,,,752,78
2025-06-02 07:05:15,84,,,,,,865,22
2025-06-02 07:05:15,14,,,,,,820,68
2025-06-02 07:05:15,76,,,,,,769,95
2025-06-02 07:05:15,40,,,,,,796,22
2025-06-02 07:05:16,79,,,,,,886,74
2025-06-02 07:05:16,47,,,,,,866,109
2025-06-02 07:05:16,68,,,,,,934,88
2025-06-02 07:05:16,36,,,,,,871,19
2025-06-02 07:05:16,78,,,,,,945,64
2025-06-02 07:05:16,44,,,,,,760,114
2025-06-02 07:05:16,54,,,,,,865,26
2025-06-02 07:05:16,93,,,,,,801,84
2025-06-02 07:05:16,42,,,,,,944,42
2025-06-02 07:05:17,27,,,,,,897,15
2025-06-02 07:05:17,70,,,,,,817,5
2025-06-02 07:05:17,62,,81,,,,873,6
2025-06-02 07:05:17,69,,75,,,,828,7
2025-06-02 07:05:17,43,,6,,,,803,56
2025-06-02 07:05:17,59,,36,,,,752,80
2025-06-02 07:05:17,4,,63,,,,761,45
2025-06-02 07:05:17,69,,95,,,,791,81
2025-06-02 07:05:17,23,,94,,,,931,87
2025-06-02 07:05:17,1,,86,,,,751,83
2025-06-02 07:05:18,22,,68,,,,751,27
2025-06-02 07:05:18,69,,89,,,,841,14
2025-06-02 07:05:18,26,,75,,,,826,14
2025-06-02 07:05:18,50,,58,,,,750,31
2025-06-02 07:05:18,91,,40,,43,,897,5
2025-06-02 07:05:18,78,,51,,63,,758,51
2025-06-02 07:05:18,31,,63,,97,,936,89
2025-06-02 07:05:18,64,,11,,83,,895,66
2025-06-02 07:05:18,17,,5,,82,,855,72
2025-06-02 07:05:19,0,,41,,79,,938,44
2025-06-02 07:05:19,91,,78,,9,,752,14
2025-06-02 07:05:19,56,,18,,21,,785,86
2025-06-02 07:05:19,19,,81,,4,,914,74
2025-06-02 07:05:19,86,,92,,32,,812,35
2025-06-02 07:05:19,91,,16,,48,,794,72
2025-06-02 07:05:19,52,,23,,19,,784,11
2025-06-02 07:05:19,57,,1,,84,,874,89
2025-06-02 07:05:19,12,,36,,84,,894,8
2025-06-02 07:05:20,15,,82,,64,,910,6
2025-06-02 07:05:20,26,,88,,73,,924,104
2025-06-02 07:05:20,53,,70,,90,,772,120
2025-06-02 07:05:20,14,,50,,0,,858,75
2025-06-02 07:05:20,52,,18,,89,,940,81
2025-06-02 07:05:20,62,10,35,,42,,814,114
2025-06-02 07:05:20,20,76,91,,23,,764,18
2025-06-02 07:05:20,18,89,60,,37,,765,75
2025-06-02 07:05:20,44,43,91,,76,,823,28
2025-06-02 07:05:21,90,41,67,,62,,877,23
2025-06-02 07:05:21,29,65,23,,79,,927,88
2025-06-02 07:05:21,43,86,63,,29,,949,41
2025-06-02 07:05:21,68,42,62,,9,,755,113
2025-06-02 07:05:21,13,31,78,,33,,845,81
2025-06-02 07:05:21,52,96,73,,1,,912,11
2025-06-02 07:05:21,22,29,14,35,48,,756,73
2025-06-02 07:05:21,47,44,56,30,9,,893,73
2025-06-02 07:05:21,17,83,63,23,69,,783,14
2025-06-02 07:05:22,58,39,17,28,72,,854,96
2025-06-02 07:05:22,96,54,7,11,96,,845,52
2025-06-02 07:05:22,78,56,6,72,52,,915,88
2025-06-02 07:05:22,70,36,93,21,44,,875,17
2025-06-02 07:05:22,2,34,87,54,80,,897,64
2025-06-02 07:05:22,88,47,68,7,0,,777,81
2025-06-02 07:05:22,40,6,64,39,80,,868,109
2025-06-02 07:05:22,5,72,97,22,62,45,778,1
2025-06-02 07:05:22,25,85,78,15,9,62,859,31
2025-06-02 07:05:23,41,27,55,27,2,97,770,99
2025-06-02 07:05:23,85,0,94,44,3,70,904,108
2025-06-02 07:05:23,3,8,37,62,81,14,879,41
2025-06-02 07:05:23,39,90,87,59,86,27,782,21
2025-06-02 07:05:23,49,87,33,81,27,61,903,107
