timestamp,escenario,rpm,vel
2025-06-02 14:30:41,ralenti,820,0
2025-06-02 14:30:41,ralenti,882,0
2025-06-02 14:30:41,ralenti,816,0
2025-06-02 14:30:41,ralenti,898,0
2025-06-02 14:30:41,ralenti,898,0
2025-06-02 14:30:41,ralenti,905,0
2025-06-02 14:30:41,ralenti,920,0
2025-06-02 14:30:41,ralenti,942,0
2025-06-02 14:30:41,ralenti,848,0
2025-06-02 14:30:42,ralenti,853,0
2025-06-02 14:30:42,ralenti,815,0
2025-06-02 14:30:42,ralenti,894,0
2025-06-02 14:30:42,ralenti,895,0
2025-06-02 14:30:42,ralenti,918,0
2025-06-02 14:30:42,ralenti,823,0
2025-06-02 14:30:42,ralenti,947,0
2025-06-02 14:30:42,ralenti,911,0
2025-06-02 14:30:42,ralenti,829,0
2025-06-02 14:30:43,ralenti,820,0
2025-06-02 14:30:43,ralenti,843,0
2025-06-02 14:30:43,ralenti,869,0
2025-06-02 14:30:43,ralenti,920,0
2025-06-02 14:30:43,ralenti,824,0
2025-06-02 14:30:43,ralenti,885,0
2025-06-02 14:30:43,ralenti,892,0
2025-06-02 14:30:43,ralenti,940,0
2025-06-02 14:30:43,ralenti,931,0
2025-06-02 14:30:44,ralenti,899,0
2025-06-02 14:30:44,ralenti,938,0
2025-06-02 14:30:44,ralenti,868,0
2025-06-02 14:30:44,ralenti,926,0
2025-06-02 14:30:44,ralenti,852,0
2025-06-02 14:30:44,ralenti,806,0
2025-06-02 14:30:44,ralenti,904,0
2025-06-02 14:30:44,ralenti,827,0
2025-06-02 14:30:44,ralenti,943,0
2025-06-02 14:30:45,ralenti,810,0
2025-06-02 14:30:45,ralenti,829,0
2025-06-02 14:30:45,ralenti,874,0
2025-06-02 14:30:45,ralenti,808,0
2025-06-02 14:30:45,ralenti,842,0
2025-06-02 14:30:45,ralenti,890,0
2025-06-02 14:30:45,ralenti,872,0
2025-06-02 14:30:45,ralenti,863,0
2025-06-02 14:30:45,ralenti,873,0
2025-06-02 14:30:45,ralenti,884,0
2025-06-02 14:30:46,ralenti,939,0
2025-06-02 14:30:46,ralenti,809,0
2025-06-02 14:30:46,ralenti,856,0
2025-06-02 14:30:46,ralenti,882,0
2025-06-02 14:30:46,ralenti,825,0
2025-06-02 14:30:46,ralenti,805,0
2025-06-02 14:30:46,ralenti,906,0
2025-06-02 14:30:46,ralenti,813,0
2025-06-02 14:30:46,ralenti,886,0
2025-06-02 14:30:47,ralenti,895,0
2025-06-02 14:30:47,ralenti,858,0
2025-06-02 14:30:47,ralenti,841,0
2025-06-02 14:30:47,ralenti,810,0
2025-06-02 14:30:47,ralenti,860,0
2025-06-02 14:30:47,ralenti,806,0
2025-06-02 14:30:47,ralenti,861,0
2025-06-02 14:30:47,ralenti,821,0
2025-06-02 14:30:47,ralenti,919,0
2025-06-02 14:30:48,ralenti,857,0
2025-06-02 14:30:48,ralenti,882,0
2025-06-02 14:30:48,ralenti,852,0
2025-06-02 14:30:48,ralenti,945,0
2025-06-02 14:30:48,ralenti,921,0
2025-06-02 14:30:48,ralenti,819,0
2025-06-02 14:30:48,ralenti,897,0
2025-06-02 14:30:48,ralenti,871,0
2025-06-02 14:30:48,ralenti,939,0
2025-06-02 14:30:49,ralenti,933,0
2025-06-02 14:30:49,ralenti,838,0
2025-06-02 14:30:49,ralenti,925,0
2025-06-02 14:30:49,ralenti,885,0
2025-06-02 14:30:49,ralenti,846,0
2025-06-02 14:30:49,ralenti,880,0
2025-06-02 14:30:49,ralenti,855,0
2025-06-02 14:30:49,ralenti,893,0
2025-06-02 14:30:49,ralenti,922,0
2025-06-02 14:30:50,ralenti,812,0
2025-06-02 14:30:50,ralenti,863,0
2025-06-02 14:30:50,ralenti,834,0
2025-06-02 14:30:50,ralenti,912,0
2025-06-02 14:30:50,ralenti,859,0
2025-06-02 14:30:50,ralenti,898,0
2025-06-02 14:30:50,ralenti,867,0
2025-06-02 14:30:50,ralenti,860,0
2025-06-02 14:30:50,ralenti,950,0
2025-06-02 14:30:51,ralenti,816,0
2025-06-02 14:30:51,ralenti,862,0
2025-06-02 14:30:51,ralenti,893,0
2025-06-02 14:30:51,ralenti,810,0
2025-06-02 14:30:51,ralenti,922,0
2025-06-02 14:30:51,ralenti,850,0
2025-06-02 14:30:51,aceleracion,1204,13
2025-06-02 14:30:51,aceleracion,1098,9
2025-06-02 14:30:51,aceleracion,1150,11
2025-06-02 14:30:52,aceleracion,1176,12
2025-06-02 14:30:52,aceleracion,1174,12
2025-06-02 14:30:52,aceleracion,1143,11
2025-06-02 14:30:52,aceleracion,1165,12
2025-06-02 14:30:52,aceleracion,1191,13
2025-06-02 14:30:52,aceleracion,1237,14
2025-06-02 14:30:52,aceleracion,1267,15
2025-06-02 14:30:52,aceleracion,1279,15
2025-06-02 14:30:52,aceleracion,1038,7
2025-06-02 14:30:52,aceleracion,1150,11
2025-06-02 14:30:53,aceleracion,1159,11
2025-06-02 14:30:53,aceleracion,1078,9
2025-06-02 14:30:53,aceleracion,1262,15
2025-06-02 14:30:53,aceleracion,1246,14
2025-06-02 14:30:53,aceleracion,1157,11
2025-06-02 14:30:53,aceleracion,1158,11
2025-06-02 14:30:53,aceleracion,1307,16
2025-06-02 14:30:53,aceleracion,1123,10
2025-06-02 14:30:53,aceleracion,1149,11
2025-06-02 14:30:54,aceleracion,1177,12
2025-06-02 14:30:54,aceleracion,1142,11
2025-06-02 14:30:54,aceleracion,1199,13
2025-06-02 14:30:54,aceleracion,1103,10
2025-06-02 14:30:54,aceleracion,1186,12
2025-06-02 14:30:54,aceleracion,1134,11
2025-06-02 14:30:54,aceleracion,1172,12
2025-06-02 14:30:54,aceleracion,1231,14
2025-06-02 14:30:54,aceleracion,1084,9
2025-06-02 14:30:55,aceleracion,1105,10
2025-06-02 14:30:55,aceleracion,1214,13
2025-06-02 14:30:55,crucero,2003,93
2025-06-02 14:30:55,crucero,2112,105
2025-06-02 14:30:55,crucero,1838,104
2025-06-02 14:30:55,crucero,2480,118
2025-06-02 14:30:55,crucero,1831,96
2025-06-02 14:30:55,crucero,2450,104
2025-06-02 14:30:55,crucero,2359,98
2025-06-02 14:30:56,crucero,2321,116
2025-06-02 14:30:56,crucero,2273,115
2025-06-02 14:30:56,crucero,2251,120
2025-06-02 14:30:56,crucero,1980,100
2025-06-02 14:30:56,crucero,1963,114
2025-06-02 14:30:56,crucero,2132,107
2025-06-02 14:30:56,crucero,1942,91
2025-06-02 14:30:56,crucero,2051,115
2025-06-02 14:30:56,crucero,1917,91
2025-06-02 14:30:57,crucero,2456,114
2025-06-02 14:30:57,crucero,1993,110
2025-06-02 14:30:57,crucero,2430,115
2025-06-02 14:30:57,crucero,2268,120
2025-06-02 14:30:57,crucero,1872,96
2025-06-02 14:30:57,crucero,2408,103
2025-06-02 14:30:57,crucero,2261,98
2025-06-02 14:30:57,crucero,2155,101
2025-06-02 14:30:57,crucero,2148,108
2025-06-02 14:30:58,crucero,2089,95
2025-06-02 14:30:58,crucero,2336,108
2025-06-02 14:30:58,crucero,1880,102
2025-06-02 14:30:58,crucero,2022,97
2025-06-02 14:30:58,crucero,2498,111
2025-06-02 14:30:58,crucero,1828,117
2025-06-02 14:30:58,crucero,2384,92
2025-06-02 14:30:58,crucero,1945,115
2025-06-02 14:30:58,crucero,1976,105
2025-06-02 14:30:59,crucero,2250,112
2025-06-02 14:30:59,crucero,2449,117
2025-06-02 14:30:59,crucero,1837,107
2025-06-02 14:30:59,crucero,2005,90
2025-06-02 14:30:59,frenado,800,0
2025-06-02 14:30:59,frenado,800,0
2025-06-02 14:30:59,frenado,800,0
2025-06-02 14:30:59,frenado,800,0
2025-06-02 14:30:59,frenado,800,0
2025-06-02 14:30:59,frenado,800,0
2025-06-02 14:31:00,frenado,800,0
2025-06-02 14:31:00,frenado,800,0
2025-06-02 14:31:00,frenado,800,0
2025-06-02 14:31:00,frenado,800,0
2025-06-02 14:31:00,frenado,800,0
2025-06-02 14:31:00,frenado,800,0
2025-06-02 14:31:00,frenado,800,0
2025-06-02 14:31:00,frenado,800,0
2025-06-02 14:31:00,frenado,800,0
2025-06-02 14:31:01,frenado,800,0
2025-06-02 14:31:01,frenado,800,0
2025-06-02 14:31:01,frenado,800,0
2025-06-02 14:31:01,frenado,800,0
2025-06-02 14:31:01,frenado,800,0
2025-06-02 14:31:01,frenado,800,0
2025-06-02 14:31:01,frenado,800,0
2025-06-02 14:31:01,frenado,800,0
2025-06-02 14:31:01,frenado,800,0
2025-06-02 14:31:02,frenado,800,0
2025-06-02 14:31:02,frenado,800,0
2025-06-02 14:31:02,frenado,800,0
2025-06-02 14:31:02,frenado,800,0
2025-06-02 14:31:02,frenado,800,0
2025-06-02 14:31:02,frenado,800,0
2025-06-02 14:31:02,frenado,800,0
2025-06-02 14:31:02,frenado,800,0
2025-06-02 14:31:02,frenado,800,0
2025-06-02 14:31:03,frenado,800,0
2025-06-02 14:31:03,ciudad,810,0
2025-06-02 14:31:03,ciudad,805,0
2025-06-02 14:31:03,ciudad,927,0
2025-06-02 14:31:03,ciudad,940,0
2025-06-02 14:31:03,ciudad,823,0
2025-06-02 14:31:03,ciudad,930,0
2025-06-02 14:31:03,ciudad,859,0
2025-06-02 14:31:03,ciudad,871,0
2025-06-02 14:31:04,ciudad,922,0
2025-06-02 14:31:04,ciudad,805,0
2025-06-02 14:31:04,ciudad,874,0
2025-06-02 14:31:04,ciudad,909,0
2025-06-02 14:31:04,ciudad,832,0
2025-06-02 14:31:04,ciudad,946,0
2025-06-02 14:31:04,ciudad,916,0
2025-06-02 14:31:04,ciudad,819,0
2025-06-02 14:31:04,ciudad,946,0
2025-06-02 14:31:05,ciudad,810,0
2025-06-02 14:31:05,ciudad,822,0
2025-06-02 14:31:05,ciudad,833,0
2025-06-02 14:31:05,ciudad,805,0
2025-06-02 14:31:05,ciudad,940,0
2025-06-02 14:31:05,ciudad,829,0
2025-06-02 14:31:05,ciudad,825,0
2025-06-02 14:31:05,ciudad,829,0
2025-06-02 14:31:05,ciudad,925,0
2025-06-02 14:31:06,ciudad,937,0
2025-06-02 14:31:06,ciudad,839,0
2025-06-02 14:31:06,ciudad,941,0
2025-06-02 14:31:06,ciudad,817,0
2025-06-02 14:31:06,ciudad,889,0
2025-06-02 14:31:06,ciudad,818,0
2025-06-02 14:31:06,ciudad,880,0
2025-06-02 14:31:06,ciudad,910,0
2025-06-02 14:31:06,ciudad,905,0
2025-06-02 14:31:06,ciudad,899,0
2025-06-02 14:31:07,ciudad,850,0
2025-06-02 14:31:07,ciudad,946,0
2025-06-02 14:31:07,ciudad,907,0
2025-06-02 14:31:07,ciudad,913,0
2025-06-02 14:31:07,ciudad,844,0
2025-06-02 14:31:07,ciudad,886,0
2025-06-02 14:31:07,ciudad,833,0
2025-06-02 14:31:07,ciudad,828,0
2025-06-02 14:31:07,ciudad,890,0
2025-06-02 14:31:08,ciudad,930,0
2025-06-02 14:31:08,ciudad,925,0
2025-06-02 14:31:08,ciudad,827,0
2025-06-02 14:31:08,ciudad,889,0
2025-06-02 14:31:08,ciudad,898,0
2025-06-02 14:31:08,ciudad,898,0
2025-06-02 14:31:08,ciudad,811,0
2025-06-02 14:31:08,ciudad,890,0
2025-06-02 14:31:08,ciudad,946,0
2025-06-02 14:31:09,ciudad,921,0
2025-06-02 14:31:09,ciudad,915,0
2025-06-02 14:31:09,ciudad,916,0
2025-06-02 14:31:09,ciudad,884,0
2025-06-02 14:31:09,ciudad,828,0
2025-06-02 14:31:09,ciudad,862,0
2025-06-02 14:31:09,ciudad,924,0
2025-06-02 14:31:09,ciudad,872,0
2025-06-02 14:31:09,ciudad,853,0
2025-06-02 14:31:10,ciudad,805,0
2025-06-02 14:31:10,carretera,950,0
2025-06-02 14:31:10,carretera,860,0
2025-06-02 14:31:10,carretera,867,0
2025-06-02 14:31:10,carretera,834,0
