2025-06-02 18:46:56,978 [INFO] --- INICIO DE SESIÓN OBD-II: log_20250602_184656.txt ---
2025-06-02 18:47:17,726 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:17,727 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:17,727 [INFO] Emulador: PID=0105, valor=70
2025-06-02 18:47:17,727 [INFO] Emulador: PID=0110, valor=2.76
2025-06-02 18:47:17,727 [INFO] Emulador: PID=0111, valor=10
2025-06-02 18:47:17,727 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:17,727 [INFO] Emulador: PID=rpm, valor=854
2025-06-02 18:47:17,727 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:17,900 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:17,915 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:17,915 [INFO] Emulador: PID=0105, valor=78
2025-06-02 18:47:17,915 [INFO] Emulador: PID=0110, valor=3.0
2025-06-02 18:47:17,915 [INFO] Emulador: PID=0111, valor=14
2025-06-02 18:47:17,915 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:17,915 [INFO] Emulador: PID=rpm, valor=920
2025-06-02 18:47:17,916 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:18,047 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:18,048 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:18,048 [INFO] Emulador: PID=0105, valor=83
2025-06-02 18:47:18,048 [INFO] Emulador: PID=0110, valor=2.95
2025-06-02 18:47:18,048 [INFO] Emulador: PID=0111, valor=8
2025-06-02 18:47:18,048 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:18,048 [INFO] Emulador: PID=rpm, valor=820
2025-06-02 18:47:18,048 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:18,180 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:18,181 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:18,181 [INFO] Emulador: PID=0105, valor=83
2025-06-02 18:47:18,181 [INFO] Emulador: PID=0110, valor=2.89
2025-06-02 18:47:18,181 [INFO] Emulador: PID=0111, valor=12
2025-06-02 18:47:18,181 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:18,181 [INFO] Emulador: PID=rpm, valor=940
2025-06-02 18:47:18,182 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:18,280 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:18,280 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:18,281 [INFO] Emulador: PID=0105, valor=78
2025-06-02 18:47:18,281 [INFO] Emulador: PID=0110, valor=2.99
2025-06-02 18:47:18,281 [INFO] Emulador: PID=0111, valor=10
2025-06-02 18:47:18,281 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:18,281 [INFO] Emulador: PID=rpm, valor=820
2025-06-02 18:47:18,281 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:18,367 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:18,368 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:18,368 [INFO] Emulador: PID=0105, valor=80
2025-06-02 18:47:18,368 [INFO] Emulador: PID=0110, valor=3.04
2025-06-02 18:47:18,368 [INFO] Emulador: PID=0111, valor=9
2025-06-02 18:47:18,368 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:18,368 [INFO] Emulador: PID=rpm, valor=927
2025-06-02 18:47:18,368 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:18,484 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:18,484 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:18,485 [INFO] Emulador: PID=0105, valor=85
2025-06-02 18:47:18,485 [INFO] Emulador: PID=0110, valor=2.72
2025-06-02 18:47:18,486 [INFO] Emulador: PID=0111, valor=11
2025-06-02 18:47:18,486 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:18,486 [INFO] Emulador: PID=rpm, valor=885
2025-06-02 18:47:18,486 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:18,609 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:18,609 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:18,609 [INFO] Emulador: PID=0105, valor=85
2025-06-02 18:47:18,610 [INFO] Emulador: PID=0110, valor=2.83
2025-06-02 18:47:18,610 [INFO] Emulador: PID=0111, valor=10
2025-06-02 18:47:18,610 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:18,610 [INFO] Emulador: PID=rpm, valor=857
2025-06-02 18:47:18,610 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:18,733 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:18,733 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:18,733 [INFO] Emulador: PID=0105, valor=84
2025-06-02 18:47:18,733 [INFO] Emulador: PID=0110, valor=2.9
2025-06-02 18:47:18,733 [INFO] Emulador: PID=0111, valor=13
2025-06-02 18:47:18,733 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:18,734 [INFO] Emulador: PID=rpm, valor=850
2025-06-02 18:47:18,734 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:18,850 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:18,851 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:18,852 [INFO] Emulador: PID=0105, valor=70
2025-06-02 18:47:18,852 [INFO] Emulador: PID=0110, valor=2.95
2025-06-02 18:47:18,852 [INFO] Emulador: PID=0111, valor=13
2025-06-02 18:47:18,852 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:18,852 [INFO] Emulador: PID=rpm, valor=932
2025-06-02 18:47:18,852 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:18,980 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:18,981 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:18,981 [INFO] Emulador: PID=0105, valor=72
2025-06-02 18:47:18,981 [INFO] Emulador: PID=0110, valor=2.64
2025-06-02 18:47:18,981 [INFO] Emulador: PID=0111, valor=13
2025-06-02 18:47:18,981 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:18,981 [INFO] Emulador: PID=rpm, valor=817
2025-06-02 18:47:18,981 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:19,164 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:19,165 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:19,165 [INFO] Emulador: PID=0105, valor=85
2025-06-02 18:47:19,165 [INFO] Emulador: PID=0110, valor=2.99
2025-06-02 18:47:19,165 [INFO] Emulador: PID=0111, valor=8
2025-06-02 18:47:19,165 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:19,165 [INFO] Emulador: PID=rpm, valor=881
2025-06-02 18:47:19,165 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:19,364 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:19,366 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:19,367 [INFO] Emulador: PID=0105, valor=76
2025-06-02 18:47:19,367 [INFO] Emulador: PID=0110, valor=3.08
2025-06-02 18:47:19,367 [INFO] Emulador: PID=0111, valor=9
2025-06-02 18:47:19,367 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:19,367 [INFO] Emulador: PID=rpm, valor=935
2025-06-02 18:47:19,367 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:19,598 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:19,598 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:19,599 [INFO] Emulador: PID=0105, valor=81
2025-06-02 18:47:19,599 [INFO] Emulador: PID=0110, valor=3.03
2025-06-02 18:47:19,599 [INFO] Emulador: PID=0111, valor=8
2025-06-02 18:47:19,599 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:19,599 [INFO] Emulador: PID=rpm, valor=854
2025-06-02 18:47:19,599 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:19,831 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:19,832 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:19,832 [INFO] Emulador: PID=0105, valor=77
2025-06-02 18:47:19,832 [INFO] Emulador: PID=0110, valor=3.0
2025-06-02 18:47:19,832 [INFO] Emulador: PID=0111, valor=12
2025-06-02 18:47:19,832 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:19,832 [INFO] Emulador: PID=rpm, valor=910
2025-06-02 18:47:19,832 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:20,079 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:20,080 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:20,080 [INFO] Emulador: PID=0105, valor=75
2025-06-02 18:47:20,080 [INFO] Emulador: PID=0110, valor=2.74
2025-06-02 18:47:20,081 [INFO] Emulador: PID=0111, valor=8
2025-06-02 18:47:20,081 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:20,081 [INFO] Emulador: PID=rpm, valor=887
2025-06-02 18:47:20,081 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:20,396 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:20,397 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:20,397 [INFO] Emulador: PID=0105, valor=81
2025-06-02 18:47:20,397 [INFO] Emulador: PID=0110, valor=2.78
2025-06-02 18:47:20,397 [INFO] Emulador: PID=0111, valor=10
2025-06-02 18:47:20,397 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:20,397 [INFO] Emulador: PID=rpm, valor=919
2025-06-02 18:47:20,397 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:20,608 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:20,609 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:20,609 [INFO] Emulador: PID=0105, valor=74
2025-06-02 18:47:20,609 [INFO] Emulador: PID=0110, valor=2.93
2025-06-02 18:47:20,609 [INFO] Emulador: PID=0111, valor=11
2025-06-02 18:47:20,609 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:20,609 [INFO] Emulador: PID=rpm, valor=825
2025-06-02 18:47:20,609 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:20,889 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:20,890 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:20,890 [INFO] Emulador: PID=0105, valor=80
2025-06-02 18:47:20,890 [INFO] Emulador: PID=0110, valor=2.77
2025-06-02 18:47:20,890 [INFO] Emulador: PID=0111, valor=8
2025-06-02 18:47:20,890 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:20,890 [INFO] Emulador: PID=rpm, valor=854
2025-06-02 18:47:20,890 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:21,073 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:21,073 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:21,073 [INFO] Emulador: PID=0105, valor=77
2025-06-02 18:47:21,073 [INFO] Emulador: PID=0110, valor=2.68
2025-06-02 18:47:21,073 [INFO] Emulador: PID=0111, valor=10
2025-06-02 18:47:21,074 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:21,074 [INFO] Emulador: PID=rpm, valor=873
2025-06-02 18:47:21,074 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:21,412 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:21,412 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:21,412 [INFO] Emulador: PID=0105, valor=79
2025-06-02 18:47:21,413 [INFO] Emulador: PID=0110, valor=2.64
2025-06-02 18:47:21,413 [INFO] Emulador: PID=0111, valor=8
2025-06-02 18:47:21,413 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:21,413 [INFO] Emulador: PID=rpm, valor=819
2025-06-02 18:47:21,413 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:21,692 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:21,692 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:21,692 [INFO] Emulador: PID=0105, valor=73
2025-06-02 18:47:21,692 [INFO] Emulador: PID=0110, valor=2.81
2025-06-02 18:47:21,693 [INFO] Emulador: PID=0111, valor=10
2025-06-02 18:47:21,693 [INFO] Emulador: PID=012F, valor=100.0
2025-06-02 18:47:21,693 [INFO] Emulador: PID=rpm, valor=934
2025-06-02 18:47:21,693 [INFO] Emulador: PID=vel, valor=0
2025-06-02 18:47:21,929 [INFO] Emulador: PID=010C, valor=
2025-06-02 18:47:21,930 [INFO] Emulador: PID=010D, valor=
2025-06-02 18:47:21,930 [INFO] Emulador: PID=0105, valor=72
