Timestamp,PID,Name,Value,Unit
2025-06-07 16:08:24.740,PID_SELECTION,FAST,010C,
2025-06-07 16:08:24.740,PID_SELECTION,SLOW,010F,
2025-06-07 16:08:24.740,PID_SELECTION,EXTENDED,221910,
2025-06-07 16:08:24.741,PID_SELECTION,FAST,010C,
2025-06-07 16:08:24.741,PID_SELECTION,SLOW,010F,
2025-06-07 16:08:24.741,PID_SELECTION,EXTENDED,221910,
2025-06-07 16:08:29.537,010C,RPM,693,RPM
2025-06-07 16:08:29.797,010C,RPM,691,RPM
2025-06-07 16:08:29.917,010C,RPM,686,RPM
2025-06-07 16:08:30.330,010F,Temp_Admision,-40,°C
2025-06-07 16:08:30.330,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 16:08:30.447,010C,RPM,697,RPM
2025-06-07 16:08:30.599,010C,RPM,703,RPM
2025-06-07 16:08:30.789,010C,RPM,707,RPM
2025-06-07 16:08:31.191,010F,Temp_Admision,-40,°C
2025-06-07 16:08:31.191,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 16:08:31.285,010C,RPM,694,RPM
2025-06-07 16:08:31.494,010C,RPM,690,RPM
2025-06-07 16:08:31.704,010C,RPM,706,RPM
2025-06-07 16:08:31.917,010C,RPM,701,RPM
2025-06-07 16:08:32.278,010F,Temp_Admision,-40,°C
2025-06-07 16:08:32.278,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 16:08:32.362,010C,RPM,705,RPM
2025-06-07 16:08:32.566,010C,RPM,688,RPM
2025-06-07 16:08:32.745,010C,RPM,690,RPM
2025-06-07 16:08:33.172,010F,Temp_Admision,-40,°C
2025-06-07 16:08:33.172,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 16:08:33.252,010C,RPM,679,RPM
2025-06-07 16:08:33.344,010C,RPM,698,RPM
2025-06-07 16:08:33.534,010C,RPM,698,RPM
2025-06-07 16:08:33.734,010C,RPM,688,RPM
2025-06-07 16:08:34.159,010F,Temp_Admision,-40,°C
2025-06-07 16:08:34.159,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 16:08:34.242,010C,RPM,699,RPM
2025-06-07 16:08:34.320,010C,RPM,697,RPM
2025-06-07 16:08:34.404,010C,RPM,713,RPM
2025-06-07 16:08:34.553,010C,RPM,702,RPM
2025-06-07 16:08:34.734,010C,RPM,699,RPM
2025-06-07 16:08:35.160,010F,Temp_Admision,-40,°C
2025-06-07 16:08:35.160,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 16:08:35.252,010C,RPM,710,RPM
2025-06-07 16:08:35.343,010C,RPM,694,RPM
2025-06-07 16:08:35.542,010C,RPM,691,RPM
2025-06-07 16:08:35.740,010C,RPM,687,RPM
2025-06-07 16:08:36.171,010F,Temp_Admision,-40,°C
2025-06-07 16:08:36.171,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 16:08:36.263,010C,RPM,685,RPM
2025-06-07 16:08:36.351,010C,RPM,688,RPM
2025-06-07 16:08:36.541,010C,RPM,698,RPM
2025-06-07 16:08:36.743,010C,RPM,691,RPM
2025-06-07 16:08:37.162,010F,Temp_Admision,-40,°C
2025-06-07 16:08:37.162,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 16:08:37.252,010C,RPM,690,RPM
2025-06-07 16:08:37.343,010C,RPM,695,RPM
2025-06-07 16:08:38.486,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 16:08:39.341,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 16:08:40.168,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 16:08:41.199,221910,Trans Fluid Temp,Sin datos,C
2025-06-07 16:08:42.227,221910,Trans Fluid Temp,Sin datos,C
